GRANDTRAVE,Grand Traverse Reservation,45.019964,-85.605696
GREENVILLE,Greenville Rancheria,40.148784,-120.893399
GRINDSTONE,Grindstone Indian Rancheria,39.672688,-122.517608
GUIDIVILLE,Guidiville Rancheria,39.165431,-123.169940
HANNAHVILL,Hannahville Indian Community,45.779431,-87.433344
HAVASUPAI,Havasupai Reservation,36.160990,-112.613442
HOCHUNKNAT,Ho-Chunk Nation Reservation,43.363470,-89.756221
HOHINDIANR,Hoh Indian Reservation,47.739539,-124.421302
HOLLYWOODR,Hollywood Reservation,26.041869,-80.212038
HOOPAVALLE,Hoopa Valley Reservation,41.093371,-123.673442
HOPIRESERV,Hopi Reservation,35.922349,-110.608367
HOPLANDRAN,Hopland Rancheria,38.998797,-123.038877
HOULTONMAL,Houlton Maliseet Reservation,46.180706,-67.814611
HUALAPAI,Hualapai Indian Reservation,35.509501,-113.401013
HURONPOTAW,Huron Potawatomi Reservation,42.104887,-85.261407
IMMOKALEER,Immokalee Reservation,26.402451,-81.413147
INAJAANDCO,Inaja and Cosmit Reservation,33.010512,-116.641643
INDIANTOWN,Indian Township Reservation,45.289867,-67.619350
IOWAKSNERE,Iowa (KS-NE) Reservation,39.997169,-95.382319
ISABELLARE,Isabella Reservation,43.676112,-84.780745
ISLETAPUEB,Isleta Pueblo,34.846389,-106.523251
JACKSONRAN,Jackson Rancheria,38.384865,-120.722623
JAMESTOWNS,Jamestown S'Klallam Reservation,48.119267,-123.172969
JAMULINDIA,Jamul Indian Village,32.702651,-116.870852
JEMEZPUEBL,Jemez Pueblo,35.759354,-106.882109
JENABANDOF,Jena Band of Choctaw Reservation,31.439300,-92.493817
JICARILLAA,Jicarilla Apache Nation Reservation,36.554536,-107.067711
KAIBABINDI,Kaibab Indian Reservation,36.909709,-112.667302
KALISPELRE,Kalispel Reservation,48.356477,-117.276365
KARUKRESER,Karuk Reservation,41.800931,-123.376732
KICKAPOOKS,Kickapoo (KS) Reservation,39.674648,-95.610927
KICKAPOOTX,Kickapoo (TX) Reservation,28.610039,-100.437119
KLAMATHRES,Klamath Reservation,42.535168,-121.880253
KOOTENAIRE,Kootenai Reservation,48.826784,-116.376634
LACCOURTEO,Lac Courte Oreilles Reservation,45.881029,-91.330564
LACDUFLAMB,Lac du Flambeau Reservation,45.984624,-89.879812
LACVIEUXDE,Lac Vieux Desert Reservation,46.282524,-89.175918
LAGUNAPUEB,Laguna Pueblo,35.027037,-107.234728
LAJOLLARES,La Jolla Reservation,33.265036,-116.849704
LAKETRAVER,Lake Traverse Reservation,45.643635,-97.092371
LANSERESER,L'Anse Reservation,46.780023,-88.370312
LAPOSTAIND,La Posta Indian Reservation,32.734509,-116.391249
LASVEGASIN,Las Vegas Indian Colony,36.349984,-115.340405
LAYTONVILL,Laytonville Rancheria,39.669290,-123.500682
LEECHLAKER,Leech Lake Reservation,47.388343,-94.310197
LIKELYRANC,Likely Rancheria,41.204769,-120.478831
LITTLERIVE,Little River Reservation,44.286276,-86.248740
LITTLETRAV,Little Traverse Bay Reservation,45.354375,-84.978622
LONEPINERE,Lone Pine Reservation,36.596883,-118.056042
LOOKOUTRAN,Lookout Rancheria,41.213876,-121.093398
LOSCOYOTES,Los Coyotes Reservation,33.297698,-116.556020
LOVELOCKIN,Lovelock Indian Colony,40.173900,-118.483211
LOWERBRULE,Lower Brule Reservation,44.092308,-99.755874
LOWERELWHA,Lower Elwha Reservation,48.139171,-123.543839
LOWERSIOUX,Lower Sioux Indian Community,44.530848,-94.990519
